cik,fund_name,n_signals,n_quarters,end_alpha_6m,end_alpha_1y,end_hit_6m,end_hit_1y,fil_alpha_6m,fil_alpha_1y,new_alpha_1y,n_new,add_alpha_1y,n_add,best_signal,consistency,lag_cost,recommend,updated_at,ph1_alpha_1y,ph1_consistency,ph2_alpha_1y,ph2_consistency,style
0001647251,TCI Fund Management,32,14,5.494601889500748,15.352549336081616,45.11904761904761,60.138888888888886,6.264730843696567,11.233930941443942,6.451694459935806,6,7.8540733624633745,23,ADD,0.6666666666666666,-4.118618394637673,★★★★ 强烈推荐,2026-06-11T09:51:02.498462,20.04803437708469,0.7142857142857143,8.778870278677312,0.6,全天候
0001336528,Pershing Square,23,9,8.054503819097947,-3.4924977684765395,48.14814814814814,38.54166666666666,-4.247210895317492,-9.8016308321439,-3.773145261736496,9,-4.618088622471343,12,NEW,0.375,-6.30913306366736,★    不建议,2026-06-11T09:51:02.498462,-4.381380663665712,0.25,-2.603614873287369,0.5,需观察
0001112520,Akre Capital,22,8,-11.789224118832415,-11.929567917067965,9.375,29.166666666666668,-14.423978591584632,-15.693231479397298,-12.917094962302432,5,-6.885527210834834,9,ADD,0.16666666666666666,-3.7636635623293326,★    不建议,2026-06-11T09:51:02.498462,3.299677253471211,0.5,-19.544190502337553,0.0,熊市价值型
0001697868,Valley Forge Capital,9,7,1.543701071733173,8.523183503499927,50.0,64.28571428571429,0.08787232956079283,5.813829328491892,-11.647516369966851,3,14.031422117323038,6,ADD,0.5714285714285714,-2.709354175008036,★★   选择性跟随,2026-06-11T09:51:02.498462,19.609425957304964,0.75,-6.2584731015734505,0.3333333333333333,熊市价值型
0001709323,Himalaya Capital,14,8,-3.621789605217002,-2.8173513889809922,37.5,57.142857142857146,1.7856665233962499,-7.338249399621081,-20.59507293060508,4,17.045475087748045,9,ADD,0.5714285714285714,-4.520898010640089,★    不建议,2026-06-11T09:51:02.498462,14.179019844812638,0.8,-45.30827947346506,0.0,熊市价值型
0001759760,H&H International Investment,31,14,4.2388738241552835,-2.4042812248948637,44.047619047619044,39.583333333333336,-0.446753252087477,-5.2416112070296625,7.0643254036359355,8,-9.58083985791252,19,NEW,0.5,-2.837329982134799,★    不建议,2026-06-11T09:51:02.498462,-3.7236276202961305,0.5714285714285714,-0.5571962713330919,0.4,需观察
0001067983,Berkshire Hathaway,27,8,-5.06166888045993,-17.913453781586217,30.20833333333333,11.111111111111109,-2.7111601107434664,-25.241824051382114,-13.662245038781498,11,-32.147277303285186,8,NEW,0.16666666666666666,-7.328370269795897,★    不建议,2026-06-11T09:51:02.498462,-21.58769061321132,0.0,-14.23921694996111,0.3333333333333333,需观察
0001358706,Abrams Capital,9,8,7.996642274328879,26.464513624677753,62.5,64.28571428571429,4.180114546781509,7.461798879524525,46.393356294766974,1,33.996299519894656,7,NEW,0.7142857142857143,-19.002714745153227,★★★  眼光准需快速执行,2026-06-11T09:51:02.498462,35.57140867299612,0.75,14.3219868935866,0.6666666666666666,全天候
0001697591,CAS Investment Partners,20,12,48.636846767921035,160.66891124236113,69.44444444444444,81.66666666666666,45.492730140093755,176.3605035978978,18.14296568206495,1,112.18345583905402,17,ADD,0.9,15.69159235553667,★★★★ 强烈推荐,2026-06-11T09:51:02.498462,182.87784129920124,0.8571428571428571,108.84807444306755,1.0,全天候
0001088875,Baillie Gifford,476,14,4.965978879861576,13.108394256216263,40.74041141672107,37.80299122099609,-1.1101830015158158,10.205793841418625,-5.619887662780645,99,-3.011085220630075,297,ADD,0.6666666666666666,-2.9026004147976376,★★★★ 强烈推荐,2026-06-11T09:51:02.498462,19.081026884682583,0.8571428571428571,4.7467085763634085,0.4,全天候
0001061768,Baupost Group,63,14,-0.2943958059018327,-7.150814161643773,45.68027210884354,44.26587301587301,2.425210388877751,-4.877007680553555,-2.6658867291330552,24,13.943041932166066,27,ADD,0.4166666666666667,2.273806481090218,★    不建议,2026-06-11T09:51:02.498462,-13.004698419357513,0.42857142857142855,1.0446237991554645,0.4,牛市成长型
0001541617,Altimeter Capital,84,13,19.955892540696325,31.526759532462833,56.332556332556315,67.92929292929293,14.240009906947718,28.401457303758033,29.743721782288254,34,13.788750426304002,28,NEW,0.7272727272727273,-3.1253022287048005,★★★★ 强烈推荐,2026-06-11T09:51:02.498462,46.85900990077769,0.6666666666666666,13.128059090484982,0.8,全天候
0001103804,Viking Global,298,14,3.69071021325415,6.477775646499303,52.96789208234221,49.24225745837,1.6703447107505662,3.350179618859734,8.974632140081058,127,12.15551050636648,126,ADD,0.75,-3.1275960276395693,★★   选择性跟随,2026-06-11T09:51:02.498462,10.154844497602683,1.0,1.3298792549545717,0.4,全天候
0001061165,Lone Pine Capital,109,14,3.614929064842954,6.355196222709645,47.05163883735312,48.07960557960558,0.8217331979028556,3.076979095406896,28.921813275523856,44,-2.1060392176414693,48,NEW,0.6666666666666666,-3.278217127302749,★★   选择性跟随,2026-06-11T09:51:02.498462,6.24640036761861,0.7142857142857143,6.5075104198370965,0.6,全天候
0001167483,Tiger Global,149,14,11.122271557614084,20.340792515165663,53.363365159583644,59.38969187130953,7.243317381252041,18.592826839042242,24.777918224978908,50,21.7520441329137,74,NEW,0.75,-1.747965676123421,★★★★ 强烈推荐,2026-06-11T09:51:02.498462,32.02460067475458,0.8571428571428571,3.9834610917411744,0.6,全天候
0001387322,Whale Rock Capital,172,14,15.029553100283236,32.827211381347986,54.26236461950748,61.150701150701146,22.202894520923877,35.294284533936974,27.100885980006673,74,29.413984396884512,65,ADD,0.8333333333333334,2.4670731525889877,★★★★ 强烈推荐,2026-06-11T09:51:02.498462,16.68706730072339,0.7142857142857143,55.423413094222425,1.0,全天候
0001840735,Greenoaks Capital,43,14,48.44414286951849,144.29810396921852,72.81746031746032,82.87037037037037,39.78000007697133,143.40686293277977,11.678253667146349,7,120.85273984742587,31,ADD,0.9166666666666666,-0.8912410364387426,★★★★ 强烈推荐,2026-06-11T09:51:02.498462,188.7433786066969,0.8571428571428571,82.07471947674885,1.0,全天候
