id,cik,quarter,period,filed_date,accession_no,total_value,num_holdings
1,0001647251,2026Q1,2026-03-31,2026-05-15,0001647251-26-000004,45170870,10
2,0001647251,2025Q4,2025-12-31,2026-02-17,0001647251-26-000002,53648816,9
3,0001647251,2025Q3,2025-09-30,2025-11-14,0001647251-25-000014,52699548,9
4,0001647251,2025Q2,2025-06-30,2025-08-14,0001647251-25-000009,50706910,10
5,0001336528,2026Q1,2026-03-31,2026-05-15,0001172661-26-002336,13714299,11
6,0001336528,2025Q4,2025-12-31,2026-02-17,0001172661-26-001091,15526737,11
7,0001336528,2025Q3,2025-09-30,2025-11-14,0001172661-25-005039,14643293,11
8,0001336528,2025Q2,2025-06-30,2025-08-14,0001172661-25-003509,13729120,11
9,0001112520,2026Q1,2026-03-31,2026-05-14,0001112520-26-000009,6134537,20
10,0001112520,2025Q4,2025-12-31,2026-02-13,0001112520-26-000008,9120742,18
11,0001112520,2025Q3,2025-09-30,2025-11-13,0001112520-25-000029,10030655,19
12,0001112520,2025Q2,2025-06-30,2025-08-14,0001112520-25-000019,10210810,19
13,0001067983,2026Q1,2026-03-31,2026-05-15,0001193125-26-226661,263095703,90
14,0001067983,2025Q4,2025-12-31,2026-02-17,0001193125-26-054580,274160086,110
15,0001067983,2025Q3,2025-09-30,2025-11-14,0001193125-25-282901,267334501,115
16,0001067983,2025Q1,2025-03-31,2025-08-14,0000950123-25-008361,1106550,4
17,0001358706,2026Q1,2026-03-31,2026-05-14,0001172661-26-001966,4638238,11
18,0001358706,2025Q4,2025-12-31,2026-02-13,0001172661-26-000791,5673786,12
19,0001358706,2025Q3,2025-09-30,2025-11-07,0001172661-25-004648,6169945,13
20,0001358706,2025Q2,2025-06-30,2025-08-08,0001172661-25-002983,6113792,13
21,0001697591,2025Q3,2025-09-30,2025-11-14,0001420506-25-003281,2242253,5
22,0001697591,2025Q2,2025-06-30,2025-08-14,0001420506-25-002046,2052289,4
23,0001088875,2026Q1,2026-03-31,2026-05-08,0001088875-26-000037,97893043,906
24,0001088875,2025Q4,2025-12-31,2026-01-23,0001088875-26-000002,120341270,902
25,0001088875,2025Q3,2025-09-30,2025-10-31,0001088875-25-000079,134998479,905
26,0001088875,2025Q2,2025-06-30,2025-08-06,0001088875-25-000057,133890908,911
27,0001061165,2026Q1,2026-03-31,2026-05-15,0000919574-26-003439,12543849,36
28,0001061165,2025Q4,2025-12-31,2026-02-17,0000902664-26-001084,13611137,32
29,0001061165,2025Q3,2025-09-30,2025-11-14,0000902664-25-004988,13742951,25
30,0001061165,2025Q2,2025-06-30,2025-08-14,0000902664-25-003627,14051394,24
31,0001167483,2026Q1,2026-03-31,2026-05-15,0000919574-26-003362,22845413,54
32,0001167483,2025Q4,2025-12-31,2026-02-17,0000919574-26-001143,29714313,54
33,0001167483,2025Q3,2025-09-30,2025-11-14,0000919574-25-006931,32359754,56
34,0001167483,2025Q2,2025-06-30,2025-08-14,0000919574-25-004870,34081542,50
35,0001387322,2026Q1,2026-03-31,2026-05-15,0001172661-26-002159,7742272,35
36,0001387322,2025Q4,2025-12-31,2026-02-17,0001172661-26-001153,7820249,32
37,0001387322,2025Q3,2025-09-30,2025-11-14,0001172661-25-005025,8491944,36
38,0001387322,2025Q2,2025-06-30,2025-08-14,0001172661-25-003481,7208635,42
39,0001840735,2026Q1,2026-03-31,2026-05-15,0001840735-26-000011,2296661,10
40,0001840735,2025Q4,2025-12-31,2026-02-17,0001840735-26-000003,2981111,10
41,0001840735,2025Q3,2025-09-30,2025-11-14,0001840735-25-000021,3065911,8
42,0001840735,2025Q2,2025-06-30,2025-08-14,0001840735-25-000017,2663678,7
43,0001536411,2026Q1,2026-03-31,2026-05-15,0001536411-26-000004,3376828,70
44,0001536411,2025Q4,2025-12-31,2026-02-17,0001536411-26-000002,4494450,62
45,0001536411,2025Q3,2025-09-30,2025-11-14,0001536411-25-000017,4062003,65
46,0001536411,2025Q2,2025-06-30,2025-08-15,0001536411-25-000011,4071255,69
47,0001592413,2026Q1,2026-03-31,2026-05-14,0001104659-26-060537,1222995313,11
48,0001592413,2025Q4,2025-12-31,2026-02-13,0001104659-26-014672,1355966748,11
49,0001592413,2025Q3,2025-09-30,2025-11-13,0001104659-25-110905,1511558483,10
50,0001592413,2025Q2,2025-06-30,2025-08-13,0001104659-25-077140,1485311348,10
51,0001697868,2026Q1,2026-03-31,2026-05-15,0001697868-26-000003,3375637,7
52,0001697868,2025Q4,2025-12-31,2026-02-17,0001697868-26-000001,4411308,9
